areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-03-15,7218
overview,United Kingdom,K02000001,2021-03-14,7288
overview,United Kingdom,K02000001,2021-03-13,7356
overview,United Kingdom,K02000001,2021-03-12,7701
overview,United Kingdom,K02000001,2021-03-11,8044
overview,United Kingdom,K02000001,2021-03-10,8423
overview,United Kingdom,K02000001,2021-03-09,8998
overview,United Kingdom,K02000001,2021-03-08,9464
overview,United Kingdom,K02000001,2021-03-07,9450
overview,United Kingdom,K02000001,2021-03-06,9702
overview,United Kingdom,K02000001,2021-03-05,10303
overview,United Kingdom,K02000001,2021-03-04,10928
overview,United Kingdom,K02000001,2021-03-03,11518
overview,United Kingdom,K02000001,2021-03-02,12136
overview,United Kingdom,K02000001,2021-03-01,12892
overview,United Kingdom,K02000001,2021-02-28,12785
overview,United Kingdom,K02000001,2021-02-27,13267
overview,United Kingdom,K02000001,2021-02-26,14075
overview,United Kingdom,K02000001,2021-02-25,14847
overview,United Kingdom,K02000001,2021-02-24,15532
overview,United Kingdom,K02000001,2021-02-23,16113
overview,United Kingdom,K02000001,2021-02-22,16852
overview,United Kingdom,K02000001,2021-02-21,16853
overview,United Kingdom,K02000001,2021-02-20,17038
overview,United Kingdom,K02000001,2021-02-19,17856
overview,United Kingdom,K02000001,2021-02-18,18519
overview,United Kingdom,K02000001,2021-02-17,19447
overview,United Kingdom,K02000001,2021-02-16,20213
overview,United Kingdom,K02000001,2021-02-15,20993
overview,United Kingdom,K02000001,2021-02-14,21053
overview,United Kingdom,K02000001,2021-02-13,20969
overview,United Kingdom,K02000001,2021-02-12,22323
overview,United Kingdom,K02000001,2021-02-11,23410
overview,United Kingdom,K02000001,2021-02-10,24415
overview,United Kingdom,K02000001,2021-02-09,25686
overview,United Kingdom,K02000001,2021-02-08,26742
overview,United Kingdom,K02000001,2021-02-07,26800
overview,United Kingdom,K02000001,2021-02-06,26913
overview,United Kingdom,K02000001,2021-02-05,28381
overview,United Kingdom,K02000001,2021-02-04,29413
overview,United Kingdom,K02000001,2021-02-03,30605
overview,United Kingdom,K02000001,2021-02-02,31768
overview,United Kingdom,K02000001,2021-02-01,32962
overview,United Kingdom,K02000001,2021-01-31,32587
overview,United Kingdom,K02000001,2021-01-30,33014
overview,United Kingdom,K02000001,2021-01-29,33847
overview,United Kingdom,K02000001,2021-01-28,34907
overview,United Kingdom,K02000001,2021-01-27,35510
overview,United Kingdom,K02000001,2021-01-26,37096
overview,United Kingdom,K02000001,2021-01-25,37752
overview,United Kingdom,K02000001,2021-01-24,37725
overview,United Kingdom,K02000001,2021-01-23,37392
overview,United Kingdom,K02000001,2021-01-22,38252
overview,United Kingdom,K02000001,2021-01-21,38054
overview,United Kingdom,K02000001,2021-01-20,38734
overview,United Kingdom,K02000001,2021-01-19,38839
overview,United Kingdom,K02000001,2021-01-18,39248
overview,United Kingdom,K02000001,2021-01-17,38162
overview,United Kingdom,K02000001,2021-01-16,37707
overview,United Kingdom,K02000001,2021-01-15,38125
overview,United Kingdom,K02000001,2021-01-14,37686
overview,United Kingdom,K02000001,2021-01-13,37483
overview,United Kingdom,K02000001,2021-01-12,36977
overview,United Kingdom,K02000001,2021-01-11,36747
overview,United Kingdom,K02000001,2021-01-10,35386
overview,United Kingdom,K02000001,2021-01-09,34027
overview,United Kingdom,K02000001,2021-01-08,33773
overview,United Kingdom,K02000001,2021-01-07,32577
overview,United Kingdom,K02000001,2021-01-06,31940
overview,United Kingdom,K02000001,2021-01-05,30680
overview,United Kingdom,K02000001,2021-01-04,30769
overview,United Kingdom,K02000001,2021-01-03,29026
overview,United Kingdom,K02000001,2021-01-02,27554
overview,United Kingdom,K02000001,2021-01-01,26382
overview,United Kingdom,K02000001,2020-12-31,26571
overview,United Kingdom,K02000001,2020-12-30,26544
overview,United Kingdom,K02000001,2020-12-29,25544
overview,United Kingdom,K02000001,2020-12-28,24045
overview,United Kingdom,K02000001,2020-12-27,22761
overview,United Kingdom,K02000001,2020-12-26,21727
overview,United Kingdom,K02000001,2020-12-25,20915
overview,United Kingdom,K02000001,2020-12-24,21574
overview,United Kingdom,K02000001,2020-12-23,21219
overview,United Kingdom,K02000001,2020-12-22,21484
overview,United Kingdom,K02000001,2020-12-21,21126
overview,United Kingdom,K02000001,2020-12-20,19998
overview,United Kingdom,K02000001,2020-12-19,19459
overview,United Kingdom,K02000001,2020-12-18,19112
overview,United Kingdom,K02000001,2020-12-17,18965
overview,United Kingdom,K02000001,2020-12-16,18667
overview,United Kingdom,K02000001,2020-12-15,18213
overview,United Kingdom,K02000001,2020-12-14,18243
overview,United Kingdom,K02000001,2020-12-13,17534
overview,United Kingdom,K02000001,2020-12-12,16905
overview,United Kingdom,K02000001,2020-12-11,16881
overview,United Kingdom,K02000001,2020-12-10,16720
overview,United Kingdom,K02000001,2020-12-09,16328
overview,United Kingdom,K02000001,2020-12-08,16473
overview,United Kingdom,K02000001,2020-12-07,16411
overview,United Kingdom,K02000001,2020-12-06,15958
overview,United Kingdom,K02000001,2020-12-05,15686
overview,United Kingdom,K02000001,2020-12-04,15725
overview,United Kingdom,K02000001,2020-12-03,15656
overview,United Kingdom,K02000001,2020-12-02,15974
overview,United Kingdom,K02000001,2020-12-01,16310
