country,date,total
Afghanistan,01/01/2021,51526
Afghanistan,10/01/2021,53489
Afghanistan,11/01/2021,53538
Afghanistan,12/01/2021,53584
Afghanistan,13/01/2021,53584
Afghanistan,14/01/2021,53775
Afghanistan,15/01/2021,53831
Afghanistan,16/01/2021,53938
Afghanistan,17/01/2021,53984
Afghanistan,18/01/2021,54062
Afghanistan,19/01/2021,54141
Afghanistan,02/01/2021,51526
Afghanistan,20/01/2021,54278
Afghanistan,21/01/2021,54403
Afghanistan,22/01/2020,0
Afghanistan,22/01/2021,54483
Afghanistan,23/01/2020,0
Afghanistan,23/01/2021,54559
Afghanistan,24/01/2020,0
Afghanistan,24/01/2021,54595
Afghanistan,25/01/2020,0
Afghanistan,25/01/2021,54672
Afghanistan,26/01/2020,0
Afghanistan,26/01/2021,54750
Afghanistan,27/01/2020,0
Afghanistan,27/01/2021,54854
Afghanistan,28/01/2020,0
Afghanistan,28/01/2021,54891
Afghanistan,29/01/2020,0
Afghanistan,29/01/2021,54939
Afghanistan,03/01/2021,51526
Afghanistan,30/01/2020,0
Afghanistan,30/01/2021,55008
Afghanistan,31/01/2020,0
Afghanistan,31/01/2021,55023
Afghanistan,04/01/2021,53011
Afghanistan,05/01/2021,53105
Afghanistan,06/01/2021,53105
Afghanistan,07/01/2021,53207
Afghanistan,08/01/2021,53332
Afghanistan,09/01/2021,53400
Afghanistan,01/10/2020,39285
Afghanistan,10/10/2020,39703
Afghanistan,11/10/2020,39799
Afghanistan,12/10/2020,39870
Afghanistan,13/10/2020,39928
Afghanistan,14/10/2020,39994
Afghanistan,15/10/2020,40026
Afghanistan,16/10/2020,40088
Afghanistan,17/10/2020,40141
Afghanistan,18/10/2020,40200
Afghanistan,19/10/2020,40287
Afghanistan,02/10/2020,39290
Afghanistan,20/10/2020,40369
Afghanistan,21/10/2020,40510
Afghanistan,22/10/2020,40626
Afghanistan,23/10/2020,40687
Afghanistan,24/10/2020,40768
Afghanistan,25/10/2020,40833
Afghanistan,26/10/2020,40937
Afghanistan,27/10/2020,41032
Afghanistan,28/10/2020,41145
Afghanistan,29/10/2020,41268
Afghanistan,03/10/2020,39297
Afghanistan,30/10/2020,41334
Afghanistan,31/10/2020,41425
Afghanistan,04/10/2020,39341
Afghanistan,05/10/2020,39422
Afghanistan,06/10/2020,39486
Afghanistan,07/10/2020,39548
Afghanistan,08/10/2020,39616
Afghanistan,09/10/2020,39693
Afghanistan,01/11/2020,41501
Afghanistan,10/11/2020,42463
Afghanistan,11/11/2020,42609
Afghanistan,12/11/2020,42795
Afghanistan,13/11/2020,42969
Afghanistan,14/11/2020,43035
Afghanistan,15/11/2020,43240
Afghanistan,16/11/2020,43468
Afghanistan,17/11/2020,43681
Afghanistan,18/11/2020,43924
Afghanistan,19/11/2020,44177
Afghanistan,02/11/2020,41633
Afghanistan,20/11/2020,44363
Afghanistan,21/11/2020,44503
Afghanistan,22/11/2020,44706
Afghanistan,23/11/2020,44988
Afghanistan,24/11/2020,45174
Afghanistan,25/11/2020,45384
Afghanistan,26/11/2020,45600
Afghanistan,27/11/2020,45723
Afghanistan,28/11/2020,45844
Afghanistan,29/11/2020,46116
Afghanistan,03/11/2020,41728
Afghanistan,30/11/2020,46274
Afghanistan,04/11/2020,41814
Afghanistan,05/11/2020,41935
Afghanistan,06/11/2020,41975
Afghanistan,07/11/2020,42033
Afghanistan,08/11/2020,42159
Afghanistan,09/11/2020,42297
Afghanistan,01/12/2020,46516
Afghanistan,10/12/2020,48053
Afghanistan,11/12/2020,48116
Afghanistan,12/12/2020,48229
Afghanistan,13/12/2020,48527
Afghanistan,14/12/2020,48718
Afghanistan,15/12/2020,48952
Afghanistan,16/12/2020,49161
Afghanistan,17/12/2020,49378
Afghanistan,18/12/2020,49621
Afghanistan,19/12/2020,49681
Afghanistan,02/12/2020,46718
Afghanistan,20/12/2020,49817
Afghanistan,21/12/2020,50013
Afghanistan,22/12/2020,50190
Afghanistan,23/12/2020,50433
Afghanistan,24/12/2020,50655
Afghanistan,25/12/2020,50810
Afghanistan,26/12/2020,50886
Afghanistan,27/12/2020,51039
Afghanistan,28/12/2020,51280
Afghanistan,29/12/2020,51350
Afghanistan,03/12/2020,46837
Afghanistan,30/12/2020,51405
Afghanistan,31/12/2020,51526
Afghanistan,04/12/2020,46837
Afghanistan,05/12/2020,47072
Afghanistan,06/12/2020,47306
Afghanistan,07/12/2020,47516
Afghanistan,08/12/2020,47716
Afghanistan,09/12/2020,47851
Afghanistan,01/02/2020,0
Afghanistan,01/02/2021,55059
Afghanistan,10/02/2020,0
Afghanistan,10/02/2021,55402
Afghanistan,11/02/2020,0
Afghanistan,11/02/2021,55420
Afghanistan,12/02/2020,0
Afghanistan,12/02/2021,55445
Afghanistan,13/02/2020,0
Afghanistan,13/02/2021,55473
Afghanistan,14/02/2020,0
Afghanistan,14/02/2021,55492
Afghanistan,15/02/2020,0
Afghanistan,15/02/2021,55514
Afghanistan,16/02/2020,0
Afghanistan,16/02/2021,55518
Afghanistan,17/02/2020,0
Afghanistan,17/02/2021,55540
Afghanistan,18/02/2020,0
Afghanistan,18/02/2021,55557
Afghanistan,19/02/2020,0
Afghanistan,19/02/2021,55575
Afghanistan,02/02/2020,0
Afghanistan,02/02/2021,55121
Afghanistan,20/02/2020,0
Afghanistan,20/02/2021,55580
Afghanistan,21/02/2020,0
Afghanistan,21/02/2021,55604
Afghanistan,22/02/2020,0
Afghanistan,22/02/2021,55617
Afghanistan,23/02/2020,0
Afghanistan,23/02/2021,55646
Afghanistan,24/02/2020,1
Afghanistan,24/02/2021,55664
Afghanistan,25/02/2020,1
Afghanistan,25/02/2021,55680
Afghanistan,26/02/2020,1
Afghanistan,26/02/2021,55696
Afghanistan,27/02/2020,1
Afghanistan,27/02/2021,55707
Afghanistan,28/02/2020,1
Afghanistan,28/02/2021,55714
Afghanistan,29/02/2020,1
Afghanistan,03/02/2020,0
Afghanistan,03/02/2021,55174
Afghanistan,04/02/2020,0
Afghanistan,04/02/2021,55231
Afghanistan,05/02/2020,0
Afghanistan,05/02/2021,55265
Afghanistan,06/02/2020,0
Afghanistan,06/02/2021,55330
Afghanistan,07/02/2020,0
Afghanistan,07/02/2021,55335
Afghanistan,08/02/2020,0
Afghanistan,08/02/2021,55359
Afghanistan,09/02/2020,0
Afghanistan,09/02/2021,55384
Afghanistan,01/03/2020,1
Afghanistan,01/03/2021,55733
Afghanistan,10/03/2020,8
Afghanistan,10/03/2021,55894
Afghanistan,11/03/2020,11
Afghanistan,11/03/2021,55917
Afghanistan,12/03/2020,12
Afghanistan,13/03/2020,13
Afghanistan,14/03/2020,15
Afghanistan,15/03/2020,16
Afghanistan,16/03/2020,18
Afghanistan,17/03/2020,20
Afghanistan,18/03/2020,24
Afghanistan,19/03/2020,25
Afghanistan,02/03/2020,1
Afghanistan,02/03/2021,55759
Afghanistan,20/03/2020,29
Afghanistan,21/03/2020,30
Afghanistan,22/03/2020,34
Afghanistan,23/03/2020,41
Afghanistan,24/03/2020,43
Afghanistan,25/03/2020,76
Afghanistan,26/03/2020,80
Afghanistan,27/03/2020,91
Afghanistan,28/03/2020,107
Afghanistan,29/03/2020,118
Afghanistan,03/03/2020,2
Afghanistan,03/03/2021,55770
Afghanistan,30/03/2020,146
Afghanistan,31/03/2020,175
Afghanistan,04/03/2020,4
Afghanistan,04/03/2021,55775
Afghanistan,05/03/2020,4
Afghanistan,05/03/2021,55827
Afghanistan,06/03/2020,4
Afghanistan,06/03/2021,55840
Afghanistan,07/03/2020,4
Afghanistan,07/03/2021,55847
Afghanistan,08/03/2020,5
Afghanistan,08/03/2021,55876
Afghanistan,09/03/2020,7
Afghanistan,09/03/2021,55876
Afghanistan,01/04/2020,197
Afghanistan,10/04/2020,532
Afghanistan,11/04/2020,556
Afghanistan,12/04/2020,608
Afghanistan,13/04/2020,666
Afghanistan,14/04/2020,715
Afghanistan,15/04/2020,785
Afghanistan,16/04/2020,841
Afghanistan,17/04/2020,907
Afghanistan,18/04/2020,934
Afghanistan,19/04/2020,997
Afghanistan,02/04/2020,240
Afghanistan,20/04/2020,1027
Afghanistan,21/04/2020,1093
Afghanistan,22/04/2020,1177
Afghanistan,23/04/2020,1236
Afghanistan,24/04/2020,1331
Afghanistan,25/04/2020,1464
Afghanistan,26/04/2020,1532
Afghanistan,27/04/2020,1704
Afghanistan,28/04/2020,1830
Afghanistan,29/04/2020,1940
Afghanistan,03/04/2020,275
Afghanistan,30/04/2020,2127
Afghanistan,04/04/2020,300
Afghanistan,05/04/2020,338
Afghanistan,06/04/2020,368
Afghanistan,07/04/2020,424
Afghanistan,08/04/2020,445
Afghanistan,09/04/2020,485
Afghanistan,01/05/2020,2291
Afghanistan,10/05/2020,4403
Afghanistan,11/05/2020,4687
Afghanistan,12/05/2020,4968
Afghanistan,13/05/2020,5227
Afghanistan,14/05/2020,5640
Afghanistan,15/05/2020,6054
Afghanistan,16/05/2020,6403
