,country,date,total
0,United Kingdom,2020-01-02,2
1,United Kingdom,2020-01-03,94
2,United Kingdom,2020-01-04,43789
3,United Kingdom,2020-01-05,183501
4,United Kingdom,2020-01-06,258983
5,United Kingdom,2020-01-07,285279
6,United Kingdom,2020-01-08,305562
7,United Kingdom,2020-01-09,339415
8,United Kingdom,2020-01-10,462777
9,United Kingdom,2020-01-11,1038056
10,United Kingdom,2020-01-12,1647233
11,United Kingdom,2020-01-22,0
12,United Kingdom,2020-01-23,0
13,United Kingdom,2020-01-24,0
14,United Kingdom,2020-01-25,0
15,United Kingdom,2020-01-26,0
16,United Kingdom,2020-01-27,0
17,United Kingdom,2020-01-28,0
18,United Kingdom,2020-01-29,0
19,United Kingdom,2020-01-30,0
20,United Kingdom,2020-01-31,2
21,United Kingdom,2020-02-02,2
22,United Kingdom,2020-02-03,134
23,United Kingdom,2020-02-04,48718
24,United Kingdom,2020-02-05,186731
25,United Kingdom,2020-02-06,260453
26,United Kingdom,2020-02-07,285285
27,United Kingdom,2020-02-08,306309
28,United Kingdom,2020-02-09,340929
29,United Kingdom,2020-02-10,469771
30,United Kingdom,2020-02-11,1057023
31,United Kingdom,2020-02-12,1663470
32,United Kingdom,2020-02-13,17
33,United Kingdom,2020-02-14,18
34,United Kingdom,2020-02-15,18
35,United Kingdom,2020-02-16,18
36,United Kingdom,2020-02-17,19
37,United Kingdom,2020-02-18,19
38,United Kingdom,2020-02-19,20
39,United Kingdom,2020-02-20,22
40,United Kingdom,2020-02-21,23
41,United Kingdom,2020-02-22,23
42,United Kingdom,2020-02-23,28
43,United Kingdom,2020-02-24,30
44,United Kingdom,2020-02-25,34
45,United Kingdom,2020-02-26,37
46,United Kingdom,2020-02-27,44
47,United Kingdom,2020-02-28,56
48,United Kingdom,2020-02-29,61
49,United Kingdom,2020-03-02,8
50,United Kingdom,2020-03-03,189
51,United Kingdom,2020-03-04,53699
52,United Kingdom,2020-03-05,189708
53,United Kingdom,2020-03-06,261802
54,United Kingdom,2020-03-07,285787
55,United Kingdom,2020-03-08,307251
56,United Kingdom,2020-03-09,342708
57,United Kingdom,2020-03-10,482656
58,United Kingdom,2020-03-11,1077101
59,United Kingdom,2020-03-12,1678421
